serialno,rac1p,lanp,anc1p
2023GQ0008117,1,1200.0,999
2023GQ0008141,2,0.0,599
2023GQ0008144,1,0.0,999
2023GQ0008213,1,0.0,999
2023GQ0008220,9,1200.0,195
2023GQ0008226,9,1200.0,290
2023GQ0008229,9,0.0,32
2023GQ0008245,1,0.0,32
2023GQ0008257,2,0.0,999
2023GQ0008263,1,1200.0,51
2023GQ0008273,9,0.0,210
2023GQ0008278,1,0.0,22
2023GQ0008288,1,0.0,924
2023GQ0008319,1,0.0,999
2023GQ0008320,1,0.0,32
2023GQ0008356,1,0.0,924
2023GQ0008360,9,1200.0,210
2023GQ0008375,9,0.0,200
2023GQ0008379,2,0.0,599
2023GQ0008397,1,1200.0,999
2023GQ0008446,1,0.0,22
2023GQ0008498,2,0.0,902
2023GQ0008500,9,0.0,902
2023GQ0008502,2,1200.0,275
2023GQ0008511,9,0.0,211
2023GQ0008537,1,0.0,924
2023GQ0008592,1,0.0,32
2023GQ0008597,1,0.0,999
2023GQ0008608,9,1200.0,210
2023GQ0008635,6,0.0,999
2023GQ0008638,9,1200.0,210
2023GQ0008662,1,0.0,940
2023GQ0008723,6,2000.0,706
2023GQ0008729,1,0.0,999
2023GQ0008755,2,0.0,902
2023GQ0008758,1,0.0,924
2023GQ0008770,2,6290.0,553
2023GQ0008773,1,0.0,210
2023GQ0008797,1,0.0,999
2023GQ0008842,8,1200.0,210
2023GQ0008855,2,0.0,999
2023GQ0008856,8,1200.0,211
2023GQ0008860,2,0.0,902
2023GQ0008872,2,0.0,902
2023GQ0008916,2,0.0,902
2023GQ0008927,6,0.0,615
2023GQ0008932,1,0.0,50
2023GQ0008938,2,0.0,902
2023GQ0008974,1,0.0,999
2023GQ0009028,9,1200.0,210
2023GQ0009034,2,0.0,902
2023GQ0009047,1,0.0,210
2023GQ0009066,1,0.0,50
2023GQ0009116,9,0.0,210
2023GQ0009151,9,0.0,999
2023GQ0009199,9,1200.0,261
2023GQ0009202,1,0.0,999
2023GQ0009203,1,0.0,999
2023GQ0009217,1,1200.0,999
2023GQ0009229,2,0.0,903
2023GQ0009233,1,1200.0,999
2023GQ0009242,6,1730.0,615
2023GQ0009279,9,1200.0,291
2023GQ0009291,9,1200.0,210
2023GQ0009311,1,0.0,51
2023GQ0009317,1,0.0,999
2023GQ0009329,2,0.0,903
2023GQ0009349,1,0.0,32
2023GQ0009373,9,0.0,903
2023GQ0009388,9,4500.0,210
2023GQ0009389,9,1200.0,210
2023GQ0009393,1,0.0,999
2023GQ0009406,2,0.0,902
2023GQ0009418,1,0.0,924
2023GQ0009431,9,1200.0,290
2023GQ0009448,2,0.0,902
2023GQ0009467,9,0.0,210
2023GQ0009475,1,0.0,87
2023GQ0009478,1,0.0,999
2023GQ0009489,6,0.0,603
2023GQ0009551,1,1200.0,210
2023GQ0009553,2,0.0,999
2023GQ0009567,2,0.0,902
2023GQ0009615,1,0.0,924
2023GQ0009631,8,1200.0,211
2023GQ0009635,1,0.0,999
2023GQ0009654,1,0.0,22
2023GQ0009657,9,0.0,917
2023GQ0009693,1,0.0,50
2023GQ0009695,2,0.0,902
2023GQ0009709,1,0.0,210
2023GQ0009763,1,0.0,924
2023GQ0009802,9,0.0,917
2023GQ0009805,2,0.0,902
2023GQ0009820,6,2575.0,750
2023GQ0009851,2,0.0,999
2023GQ0009871,1,0.0,924
2023GQ0009872,9,1200.0,210
2023GQ0009894,1,0.0,999
2023GQ0009899,1,0.0,999
2023GQ0009911,2,0.0,902
2023GQ0009928,1,0.0,999
2023GQ0009939,1,0.0,290
2023GQ0009949,1,0.0,32
2023GQ0009984,9,0.0,999
2023GQ0009997,1,0.0,939
2023GQ0010007,1,0.0,924
2023GQ0010042,1,0.0,50
2023GQ0010083,1,0.0,999
2023GQ0010086,3,0.0,920
2023GQ0010095,2,0.0,902
2023GQ0010118,2,0.0,902
2023GQ0010123,2,0.0,902
2023GQ0010140,9,0.0,290
2023GQ0010155,1,0.0,999
2023GQ0010180,1,0.0,999
2023GQ0010202,9,1200.0,999
2023GQ0010211,2,0.0,903
2023GQ0010216,8,1200.0,211
2023GQ0010260,1,0.0,999
2023GQ0010280,1,1200.0,999
